/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,/proc/oppoVersion/ramSize,project
18663,1,2G,18663
18051,1,2G,18051
18355,1,4G,18344
18355,1,3G,18346
18355,6,4G,18347
18355,3,4G,18347
18355,2,4G,18348
18355,3,3G,18355
18355,2,3G,18349
18355,1,2G,18339
18355,2,2G,18341
18355,3,2G,18340
18355,6,2G,18368
18355,6,3G,18368
18301,5,2G,18301_2G
18301,5,3G,18301_3G
18301,6,2G,18303_2G
18301,6,3G,18303_3G
18301,7,2G,18302_2G
18301,7,3G,18302_3G
18301,8,3G,18335
18301,8,larger than 3G,18335
18032,9,3G,18032
18032,9,larger than 3G,18032
18031,8,3G,18031
18031,8,larger than 3G,18031
18031,10,3G,18031
18031,10,larger than 3G,18031
18031,11,larger than 3G,18033
18301,12,3G,18331
18171,10,2G,18171
18171,10,3G,18171
18171,10,4G,18171
18171,10,larger than 3G,18171
18172,9,2G,18172
18172,9,3G,18172
18172,9,4G,18172
18172,9,larger than 3G,18172
18173,10,2G,18173
18173,10,3G,18173
18173,10,4G,18173
18173,10,larger than 3G,18173
18571,6,2G,18572
18571,6,3G,18572
18571,6,4G,18572
18571,6,larger than 3G,18572
18571,5,2G,18571
18571,5,3G,18571
18571,5,4G,18571
18571,5,larger than 3G,18571
18571,14,2G,18576
18571,14,3G,18576
18571,14,4G,18576
18571,14,larger than 3G,18576
18571,13,2G,18573
18571,13,3G,18573
18571,13,4G,18573
18571,13,larger than 3G,18573
18571,7,2G,18575
18571,7,3G,18575
18571,7,4G,18575
18571,7,larger than 3G,18575
18351,1,4G,18352
18351,2,4G,18364
18351,3,4G,18338
18351,7,3G,18345
18351,2,3G,18334
18351,6,4G,18358
18351,1,2G,18353
18351,2,2G,18356
18351,3,2G,18359
18351,1,3G,18336
18351,3,3G,18338
